"Portugues";"Kikongo"
"debilitado";"kala wa yoya"
"debilitar";"yoyisa"
"debitar";"futa"
"débito";"mfuka"
"debotar";"kuluka sye"
"debulhar";"kulumuna"
"década";"tandu kya mvu kumi"
"decencia";"lusansu"
"decente";"velela"
"decentemente";"mpila ya velela"
"decepar";"vambula"
"decidir";"baka lukanu"
"decifrador";"ntunguludi"
"decifrar";"tungulula"
"décimo";"wakumi"
"décimo segundo (12º)";"kumi ye zole"
"decisão";"lukanu"
"decisivo";"nzengo"
"declamar";"vova mungolo"
"declaração";"dya vovwa"
"declarado";"kya vovilwa"
"declarante";"mvovi"
"declarar";"vova"
"declarar sem efeito";"kwola kwa mpamba"
"declarar-se";"kudivovisa"
"declarar-se presente";"tambulula"
"declinar";"tekika"
"declive";"ntoto wa tekama"
"decorar";"vyengisa"
"decorrer";"vyoka, luta"
"decote";"mpila ya singika mayene"
"decrescer";"kulumuka"
"decretar";"baka lukanu, nzengo"
"decreto";"nsiku"
"dedicação";"luzolo"
"dedicado";"nkwa luzolo"
"dedicar";"luzolo"
"dedicatória";"fu kya luzolo"
"dedo mínimo";"nlembwa a nsuka"
"dedo polegar";"nlembwa a sina"
"deduzir";"banzikila"
"defecação";"nena"
"defecar,necessidade maior";"nena"
"defeito fisico";"mvanguki"
"defeituoso";"mvanguki"
"defender";"tanina"
"defender-se";"kudi tanina"
"defensiva";"lutaninu"
"defensor";"ntanini"
"deferimento";"mvuti"
"defesa";"lutaninu"
"defeso";"kya taninwa"
"definhar";"yayisa"
"definir";"sasila"
"definitivo";"dya nsuka"
"deformado";"kya tekama"
"deformar";"tekama"
"defraudador";"nlabi"
"defrontação";"mpolo ye mpolo"
"defrontar";"wanana"
"degenerar";"vidisa mpila"
"degrau";"tezo"
"deitado";"nleka"
"deitar ";"loza, nleka"
"deitar comida do prato";"loza madya mu longa"
"deitar a baixo";"bwisa va ntota"
"deitar chamas";"kwika ntya"
"deitar culpas";"vana kuma"
"deitar fora ";"loza kumbazi"
"deitar maldição ";"lozila zila"
"deitar pela boca";"loza mu mwa"
"deitar pús";"vayikisa mafina"
"deitar-se de lado";"leka luvati"
"deitar-se por cima ";"kudi tuba mu zulu "
"deixa";"lakwa"
"deixa de usar";"yambula kyo"
"deixá-lo";"wu yambidi"
"deixa-me";"wu nsisi"
"deixar";"lakwa"
"deixar a casa";"yambula nzo"
"deixar de brincar";"yambula nsakana"
"deixar cair";"sala bwisa"
"deixar de fazer ";"yambula vanga "
"deixar de ir";"yambula kwenda"
"deixar de jejuar";"yambu nanga nzala"
"deixar fugir";"yambula tina"
"deixar de roubar";"yambula yiba"
"deixar nu";"sisa nkonga"
"deixar para sempre";"yambula ntangwa za wonso"
"deixar passar";"yambula lutisa"
"deixar passar o tempo";"yambula lutisa ntangwa"
"deixar perder cair";"bwisa"
"deixar restos";"yambula ndambu"
"deixar saudades";"sisa vyangi"
"deixar de ver";"yambula mona"
"deixar-se ficar";"kudisisa"
"deixar-se ir";"kudi yambula kwenda"
"delatar ";"vonga"
"delator";"mvongi"
"delegado";"ntumwa"
"deliberar";"yambula"
"delicadeza";"mpila wu nsongi"
"delicado";"kya kondwa ngolo"
"delícia";"ntomo"
"deliciar";"vana ntomo"
"delicioso";"kya ntomo kikilu"
"delimitar";"vanga mwingilu"
"delinear";"vanga syangi"
"delinquente";"kimpumbulu"
"delirar";"bokana"
"delírio, delíquio";"zola kikilu"
"delito";"konda luzitu"
"demais";"kwa yingi"
"demanda";"kwa yingi"
"demandista";"ntumi"
"demarcação";"dimbu"
"demarcar";"vanga sisu"
"demasiado";"kya yingi"
"demasiar-se";"kudi vyidisa"
"demência";"zayi"
"demissão";"katuka"
"demitir";"katulwa"
"democrático";"kya nkangu"
"demolir";"bangula"
"demónio";"ndoki"
"demonstração";"songa"
"demonstrante";"nsongi"
"demonstrar";"songa"
"coco";"tuvi"
"demora";"nanga"
"demorar";"zingila"
"dendém";"ngazi"
"dendém maduro";"ngazi za bwaka"
"denominação ";"nkumbu"
"denominar";"vana nkumbu"
"dentada";"tatika"
"dentadura";"tatikwa kwa yingi"
"dental, dentário";"kya menu"
"dente";"dinu"
"dentes";"menu"
"dentista";"wuki a menu"
"dentro ";"mu kati"
"denúncia";"funda"
"denunciante";"mfundi"
"denunciar";"funda"
"deparar";"monana"
"depenador";"ma kya vuzila nsala"
"depenar";"katula nsala"
"dependência";"lukuku, lukuluku"
"dependente";"kala mulutumu"
"depender";"mulutumu"
"depenicar";"yuva nsala"
"depilar";"yuva"
"depois";"yi bosi"
"depois de…";"kunsuka a... "
"depois disto";"kunsuka dyadi"
"depor";"sasila"
"deportar";"sindikwa"
"depos de amanha";"mbazi kilanda"
"depositante";"nlundisi"
"depositar";"lundisa"
"depositário";"nlundisi"
"depósito";"ludilu"
"depreender";"bakisa"
"depressa";"nswalu, muswalu"
"depressão";"kulula"
"deprimir";"kulula"
"depurar";"sukuka"
"deputado";"ntumwa a nkangu"
"derivado";"ntuka"
"derivar";"tuka"
"derramamento";"mbungula"
"derramar";"bungula"
"derramar gota a gota";"tya ka ntosi ntosi"
"derreter";"zezisa"
"derrota";"yela, lembisunda"
"derrotador";"mbwisi"
"derrotar";"sunda"
"derrubar";"bwisa"
"desabafar";"vevoka"
"desabamento";"wulumuka"
"desabar";"wulumuka"
"desabitado";"kya konda zingilwa"
"desabitar";"konda zingilwa"
"desabituar";"konda yukulukilwa"
"desabotoar";"kutulula ntenzi"
"desacato";"konda lemvokila"
"desacostumar";"vidisa e fu"
"desafiar";"kinya"
"desafinar";"zezisa, yoyisa"
"desafio";"dika  kinya, tembe"
"desaforo";"mambu ma mbi"
"desagradar";"mwesa kyadi"
"desagradavél";"katula kyese"
"desajeitado";"kya konda lunene"
"desamarrar";"kutulula"
"desamparado";"kya konda fulu"
"desamparar";"konda fulu"
"desamparo";"kya konda fulu"
"desanuviar";"kunguna"
"desaparecer";"vila"
"desaparecer das vistas";"vila mu mesu"
"desaparecer lentamente";"vila malembe malembe"
"desapertar";"yoyisa"
"desaproveitar";"konda baka"
"desaprumar";"tekomona"
"desaprumo";"kya tekama"
"desarmamento";"kutumuna"
"desarmar";"kutumuna"
"desarrumar";"mwanganisa, fwatikisa"
"desastre";"sumbula"
"desatar";"kutula"
"desatar-se";"kudi kutulula"
"desatinar";"vidisa"
"desatino";"vila"
"desativado";"kya konda salu"
"desautorizar";"konda nswa"
"desavença";"nzonzi"
"desavergonhado";"katula nsoni"
"desbotar";"katuka sye"
"descabelar";"katula nsuki"
"descalçar";"katula nsapatu, katula palakata"
"descaminhar";"katuka mu nzila"
"descampar";"vila"
"descansar";"vunda"
"descansar em paz";"vunda mu luvuvamu"
"descansar o corpo";"vundisa nitu"
"descansar o espírito";"vindisa  ngindu"
"descanso";"vunda"
"descarado";"konda nsoni"
"descarnar";"suna"
"descarnar aos poucos";"suna fyoti"
"descarnar mais vezes";"suna ntangwa zayingi"
"descarregar";"kulumuna"
"descendência";"makwiza"
"descendente";"ngiza"
"descer";"kulumuka"
"descida";"nkulumuka"
"descobridor";"ntunguludi"
"descobrimento";"tungulula"
"descobrir";"tungulula"
"descolar";"katuka"
"desconfiado";"kondwa kwa vuvu"
"desconfiança";"katula vuvu"
"desconfiar";"kondwa vuvu"
"descoser";"kutuluka"
"descrição";"ma sonekwa"
"descriminar";"vambula"
"descuidado";"kondwa lungalala"
"descuido";"kondwa lungalala"
"desculpa";"loloka"
"desculpar";"lu loloko"
"desde";"tuka, kina"
"desde então";"tuka ntama"
"desde que…";"tuka kya…"
"desdobrar";"yalumuna"
"desejado";"nzolele"
"desejar";"zolelwa"
"desejo";"zolela"
"desejo de vingança";"luzolo lwa vanga mbi"
"desejoso";"nkwa nzodila"
"desembrulhar";"yalumuna"
"desempregado";"mu nkondwa salu"
"desempregar";"katula mu salu"
"desencaixar";"vayikisa munkela"
"desencaminhar";"vengomoka mu nzila"
"desencolher";"yalumuna"
"desencontrar";"konda bulangana"
"desencontro";"konda bulangana"
"desenhar";"bandula"
"desenho";"teke"
"desenrolar";"zingumuna"
"desenterrar";"tombola"
"desentupir";"sukumuna"
"desenvolver";"vatumuka"
"desenvolvimento";"mungunuka"
"desertar";"tina"
"deserto";"makanga"
"desertor";"ntini"
"desesperar";"kulula vuvu"
"desespero";"dimbula vuvu"
"desfavorecer";"kya konda sadiswa"
"desfazer";"fwasa"
"desfolhar";"katula makaya"
"desforra";"soki"
"desforrar";"vanga soki"
"desfrutar";"zingu kya mbote"
"desgastar";"lala"
"desgosto";"luzembo"
"desgovernar";"yambula yala"
"desgraçado";"nsukami"
"desgraçar";"mwesa mpasi"
"designação";"songidila"
"designar";"songela"
"desigual";"lembi fwanana"
"desigualidade";"lembi fwananesa"
"desinfectar";"tomisa"
"desistência";"yambula"
"desistir";"lakwa,yambula"
"desleal";"konda kyeleka"
"deslealdade";"mavuna, luvunu"
"desleixado";"nzevoni"
"desleixar";"nzevona"
"desleixo";"yambula"
"desligar";"zima"
"deslizar";"syelemona"
"deslize";"lu syelemono"
"deslocação";"soba fulu"
"deslocar ";"soba"
"deslocar os membros";"fufuka koko, fikuka"
"deslumbrante";"sivi"
"deslumbrar";"sivika"
"desmaiar";"bemboka, kinfwa nkandi"
"desmaio";"bembuka, kimfwa nkadi"
"desmamar (desquitar)";"yemona"
"desmanchar";"kutulula"
"desmanchar o penteado ";"kutulula nsuki"
"desmando";"wungumba"
"desmantelar";"yalula"
"desmascarar";"katula mbawu"
"desmentir";"vunisa"
"desmonoramento";"bangula"
"desmontar";"zibula"
"desmoralizar";"yoyisa"
"desobedecer";"konda kwikila, konda tonda"
"desobediência";"limbi kwikila"
"desobediente";"mu ndembi kwikila"
"desocupar";"sisa"
"desonesto";"mvuni"
"desonra";"vuna"
"desonrar";"konda kwikila"
"desordem";"fwatakesa"
"desordenado";"kya konda sengi kwa"
"desordenar";"fwatikisa"
"desorganizar";"fwatikisa"
"desovar";"lozela"
"despachar";"sindika"
"despacho";"vana nswa"
"despedida ";"kanana, lukananu"
"despedido";"kanana, lukananu"
"despedir";"kanina"
"despedir-se";"kanina"
"despejar";"tyamuna"
"despejo";"tyaka"
"despensa, dispensa";"swa, yambudilu"
"despenteado";"konda sana nsuki"
"despentear";"fwatikisa nsuki"
"desperdiçar";"fwilu"
"despertador";"sikamisu"
"despertar";"sikamesa"
"despido";"konga"
"desporto";"nsakana"
"desprezar";"bembola"
"desprezar a mulher";"yambula nkento"
"desprezível";"kya bembolwa"
"desprezo";"bembola"
"desprotegido";"kondwa lundwa"
"destacar ";"lungalala"
"destampar";"yangula"
"destinado";"kya lundwa"
"destinador";"ntumi"
"destinatário";"ntambudi"
"destino (destinação)";"lwa, lwakisa"
"destravar";"lembi ningama"
"destruição";"fwasa"
"destruidor";"nfwasi"
"destruir";"bangula"
"desumano";"konda nzola"
"desunir";"vambula"
"desuso";"konda mfunu"
"desvalorizar";"katula luzitu"
"desvendar";"tungununa"
"desviar";"tekomona"
"desvio";"mpambu"
"detalhe";"mwanganasa"
"detenção";"kimonekene"
"deter";"baka, kangama"
"determinação";"nzengo"
"determinante";"kwa nzengo"
"determinar";"baka nzengo"
"detestar";"konda zola"
"detestável";"konda zola"
"detido";"kangama"
"detrás";"kumanima"
"Deus";"Nzambi"
"devagar";"malembe"
"devastação";"nungunuka"
"devastar";"vongisa"
"devedor";"mu ndye mfuka"
"dever";"mfuka"
"devido a, por causa de…";"mudyambu  dya…"
"devolução";"vutula"
"devolver";"vutula"
"devorador";"nfwasi"
"devoradora";"kya fwaswa"
"devorar";"fwaswa"
"dez  mil (10.000)";"mafunda kumi"
"dez vezes";"nkumbu kumi"
"dez (10)";"kumi"
"dezanove (19)";"kumi ye vwa"
"dezasseis (16)";"kumi ye sambanu"
"dezassete (17)";"kumi ye sambwadi"
"dezembro";"ngonde ya kumi ye zole"
"dezena";"ma kumi"
"dezoito (18)";"kumi ye nana"
"dia";"lumbu"
"dia anterior";"lumbu kilutidi"
"dia da vigília";"lumbu kya kyelo"
"dia seguinte";"lumbu kilanda"
"diabo";"ndoki"
"diagnosticar";"fimpa"
"diagonal";"ndambu a tekama"
"dialecto";"mpovilu"
"diarreia";"lutwa a vumu"
"didáctico";"ya lulongoko"
"dieta";"mpila ndilu"
"difamador";"kwa wezi"
"difamar";"wezi"
"diferença";"nswaswani"
"diferente";"swaswana"
"dificil";"mpasi"
"dificuldade";"mpasi"
"dificultar";"vangisa mpasi"
"difundir";"mwanganasa"
"difusão";"mwanga"
"digestão";"vunda votu didi"
"dignidade";"lendo"
"dignificar";"sasila"
"digno";"zitisa"
"dilatação";"komama vonga"
"dilatar";"vonga"
"diligente";"ngangu"
"diluir";"sanganasa"
"dilúvio";"lubungu"
"dimensão";"tezo"
"diminuição";"nwengisa"
"diminuir";"nwengisa "
"dinheiro";"nzimbu, tadi"
"direcção";"ndambu ya"
"directo";"singama"
"director";"mfumu a salu"
"direita";"lunene"
"dirigente";"ntwadisi"
"dirigido";"kwendisa"
"dirigir";"ludika"
"dirigivel";"kilenda ludikwa"
"disciplina";"longi"
"disciplinar";"longa"
"discípulo";"nlandi"
"disco";"palaki"
"discordância";"konda wizana"
"discordar";"konda wizana"
"discreto";"sweka"
"discrição";"ma sonekwa"
"discriminar";"swaswanwsa"
"discursar";"vova"
"discurso";"mvovo"
"discussão";"ntatani"
"discutir";"nzonzi"
"disfarçado";"vunisa"
"disfarçar";"kwa mavuna"
"disfarce";"vova luvumu"
"disparar";"basula"
"disparatar";"lokila"
"disparate";"levola"
"disparo";"basuka"
"dispensar";"luve"
"dispensável";"kya luve"
"dispersar";"vila"
"disponivel";"dilenda kana"
"dispor";"wizana"
"disposição";"singika"
"disputa";"nwanina"
"disputar";"nwanisa"
"dissimular";"vunina"
"dissolver";"kituka"
"distância";"kwanda"
"distanciar";"tula kwanda"
"distante";"kwanda"
"distinguir";"swaswanasa"
"distinto";"vambuka"
"distração";"vukumuka"
"distraido";"vilakana"
"distrair";"vukumuna"
"distribuição";"kayanasa"
"distribuidor";"nkayanisi"
"distribuir";"kaya"
"distúrbio";"mavwanga"
"ditado";"soneka"
"ditador";"nkwamisi"
"ditar";"vova"
"diurno";"mwini"
"divagar";"malembe"
"diversão";"nsakana"
"diverso";"mpila mu mpila"
"divertido";"ma kyambote"
"divertimento";"kya nsakana"
"dívida";"mfuka"
"dividir";"kayana"
"divindade";"lwa nzambi"
"divino";"lwa nzambi"
"divisão";"nkayilu"
"divisivel";"kya kayana"
"divisor";"nkwafuka"
"divisória";"mwingilu"
"divorciada";"nkento wa fwilwa longo"
"divorciar";"vambana"
"divórcio";"vambana"
"divulgar";"zayisa"
"dizer";"vova"
"dízimo";"nkayilu a nzambi"
"doação";"nkayilu"
"doador";"mvani a nkayilu"
"doar";"vana "
"dobra";"budika"
"dobrada";"kya budikwa"
"dobradiça";"nsingikwa ya kyelo"
"dobrado";"kya bulama"
"dobrar";"budika"
"dobro";"zole"
"doce";"zenza"
"docente";"nlongi"
"docil";"wambote"
"documento";"nkanda "
"doçura";"nzenzo"
"doença";"yela"
"doença do sono";"yela kwa kilu"
"hemorroide";"vayi kandya"
"doente";"mbevo"
"doentio";"mbevo"
"doer";"lunza"
"doidice";"vukamu"
"doido";"mvukami"
"dois (2)";"zole"
"doloroso";"ndunza"
"dom";"lukawu"
"doméstica";"nsalu ya munzo"
"domesticar";"sasa, sansa"
"domestico";"wa sanswa"
"domicílio";"fulu kya kala"
"dominar";"zaya"
"domingo";"kya lumingo"
"dominio";"zaya"
"dona";"nengwa"
"donativo";"nkayilu"
"donde";"kweyi"
"dono";"mvwe"
"donzela";"ndumba"
"dor";"lunza"
"dores";"ndunza"
"dor de cabeça";"lunza ntu"
"dor de barriga";"mpasi za vumu"
"doravante";"mu dyu dyu"
"dores de parto";"mpasi za wuta"
"dorido";"ampasi"
"dorminhoco";"nkwa kilu"
"dormir";"leka"
"dote";"mpako"
"dourar";"tula mu wolo"
"doutor";"ngangula"
"doutrina";"kimvuka kya  malongi"
"doze (12)";"kumi ye zole"
"drogas";"ma ya nkolwa"
"duas ";"zole"
"duas vezes";"nkumbu myole"
"duelo";"vita ya antu wole"
"duplicado";"kumbu myole"
"duplicar";"kumbu zole"
"duração";"nanga"
"duradouro";"kya nanga"
"durante";"tuka"
"durar";"nanga"
"durável";"kya nanga"
"dureza";"kya nanga"
"duro";"bala"
"duro de roer";"bala ye toboka"
"dúvida";"mpaka"
"duvidar";"fila mpaka"
"duvidoso";"mfidi a mpaka"
"duzentos (200)";"nkamazole"
"dúzia (12)";"kumi ye zole"
"e (conjunção)";"ye"
"ébrio";"nwa malavu"
"ebulição";"fu kya yidisa"
"eclipse";"fu kya kotisa ntemo"
"eco";"zu"
"economia";"mvuwilu"
"económico";"lunda"
"economista";"nlundi"
"economizar";"lunda"
"edificação";"tunga"
"edificar";"tunga"
"edificio";"nzo ya kwele mvu"
"editar";"vangulula"
"educação";"longa"
"educado";"wa longwa"
"educador";"nlongi"
"educando";"wa longwa"
"educar";"longa"
"efectivo";"ya kwelemvo"
"efectuar";"vanga "
"efeito";"nluta"
"efermidade";"kimbevo"
"eficacia";"lenda"
"eficaz";"kya lendo"
"egoísmo";"nsita"
"egoista";"nkwa nsita"
"elastico";"nkwezo"
"ele mesmo";"yandi kikilu"
"ele ";"yandi "
"ela";"yandi"
"elefante";"nzawu, nzamba"
"elegância";"lubuka kyambote"
"elegante";"muntu wambote"
"eleger";"sola"
"eleição";"nsola"
"eleito";"wa solwa"
"elementar";"kya yantika"
"elemento";"kya kintwadi"
"eles";"yawu, bawu"
"elas";"yawu, bawu"
"elevação";"nzanguka"
"elevado";"kya zangulwa"
"elevador";"zangudi"
"elevar";"sangula"
"elevar-se";"kudi sangula"
"eliminar";"fwasa"
"elo";"bundakana"
"elogiar";"sanisina"
"elogio";"lusanisinu"
"em";"mu "
"em baixo";"kunsi"
"em breve";"munswalu"
"em cima";"mu zulu"
"em frente";"kuntwala"
"em pé";"telama"
"emagrecer";"tanda"
"emagrecimento";"ntandilu"
"embaciamento";"kubuka"
"embaixada";"lumbu lwa ntumwa"
"embaixador";"ntu mwa"
"embalar";"lunda"
"embalsamar";"kusa longo"
"embaraçar";"fwatikisa"
"embaraço";"fwasa"
"embarcação";"nkangalu"
"embarcar";"kangala"
"embargar";"kangalu"
"embate";"wandana"
"embater";"wanda"
"embebedar";"nkolwa"
"embebedar-se";"kudi koleswa"
"embelezamento";"lutomesu"
"embelezar";"tomesa"
"embondeiro";"nkondo"
"embora (adv)…";"kanele vo…"
"emboscada";"kika"
"embranquecer";"pembisa"
"embriagado";"kolwa"
"embriagar";"nkolwa"
"embriaguês";"nkolwa"
"embrulhar";"zinga"
"embrulho";"funda"
"embutir";"tula"
"emendar";"zitikisa, kangisa"
"emendar-se";"kudi zitikisa"
"emergência";"nswalu"
"emergir";"zanguka"
"emersão";"fu kya zanguka"
"emfim…";"e nsuka…"
"emissão";"lumanisa"
"emitir";"vana, vanga"
"emitir luz";"vana ntemo"
"emolumentos";"mpaku"
"empacotar";"tula mu kutu"
"empanturrar";"yukuta"
"empapuçar";"ma bundi butalala"
"empatar";"mfwanani"
"empate";"fwanana"
"empenar";"tekika"
"empenhar";"kudi vana"
"empenho";"kwaminina"
"empilhar";"kundikisa"
"empinar";"tekika"
"empobrecer";"kala mputu"
"empregar";"kotisa mu salu"
"emprego";"salu"
"empresa";"nzo ya salu"
"emprestar";"sompeko"
"emprestavel";"kya sompeka"
"empréstimo";"sompeka"
"empurrão";"lunungunu"
"empurrar";"munguna"
"enaltecer";"sanisa"
"encadear";"kotisa mu boloko "
"encadernar";"vanga kaye"
"encaixar";"tula munkela"
"encaixe ";"kya kangama"
"encalhar";"yumisa"
"encaminhador";"ntumi"
"encaminhamento";"filwa"
"encaminhar";"ntumwa"
"encandear";"kwika"
"encantado";"kya sivi"
"encantador";"nkwa a masivi"
"encantar";"masivi"
"encanto";"masivi"
"encaracolar";"zinga"
"encarar";"tala "
"encardir";"lomboka"
"encarecer";"nkondwa"
"encargo";"kiyekwa"
"encarnação";"wutuluka"
"encarnado";"kala ye mbizi, kya menga"
"encarnar";"kala ye mbizi"
"encarregado";"ntwadisi"
"encarregar";"natisa"
"encascar";"tetisa"
"encerrar";"kanga, manisa"
"encharcado";"kya kakama"
"encharcar";"kakama"
"enchente";"yela"
"encher";"yelesa"
"encobrir";"fukila"
"encolher";"koka"
"encomenda";"tuma"
"encomendar";"tumina"
"encontar";"wana"
"encontro";"nkuta kani"
"encorajar";"vana ngolo"
"encostador";"nkwa syetoka"
"encostamento";"fu kya syetoka"
"encostar";"syetoka"
"encruzilhada";"mpambu za nzila"
"encruzilhar";"fikuluzu"
"encurralar";"swama"
"encurtar";"kufika"
"encurvar";"yenzama"
"endemoninhado";"lokwa"
"endemoninhar";"tula kindoki"
"endereçar";"twika, fidisa"
"endireitar";"singika"
"endoidecer";"laka"
"endurecer";"bwaki, kolesa"
"energia";"nkengezi"
"enérgico";"kya kengezi"
"enervar";"funga nganzi"
"enfarinhar-se";"kuditulwa sekwa"
"enfarruscar";"kya mvindu"
"enfartar";"tokanaswa"
"enfarte";"mvwatuka a ntima"
"enfeitar";"tomesa"
"enfeitar-se";"kudi tomisa"
"enfeite";"tomesa"
"enfeitiçar";"loka"
"enfermagem";"lulongoko lwa mawuku"
"enfermar";"ki mbevo"
"enfermaria";"nzo ya mawuku"
"enfermeiro";"nganga mawuku"
"enfermidade";"mayela"
"enfermo";"mbevo"
"enfestar";"sambukisa"
"enfiada";"kya kotiswa"
"enfiar";"kotisa"
"enforcamento";"fu kya kama"
"enforcar";"kama"
"enfraquecer";"yoya"
"enfraquecimento";"yoyisa"
"enfrentar";"wanana"
"engajar";"ngwizani"
"enganador";"nkwa ma vuna"
"enganar";"vuna"
"enganar-se";"kudi vuna"
"engano";"vilakana"
"engarrafar";"fyenga"
"engasgamento";"swenoka"
"engasgar";"swenoka"
"engatar";"kanga"
"engate";"kanga"
"engatinhar";"yavula"
"engenheiro";"nkwa gango"
"engolir";"mina"
"engomar";"woma, lambula"
"engordar";"vonga"
"engraçado";"nsakana"
"engraixar";"wezi, nsangu"
"engravidar";"yimitisa"
"engrossar";"vwidisa"
"enguiço";"ntala a mbi"
"enjoar";"vana nkele"
"enjoo";"nduki nduki"
"enlouquecer";"lawuka"
"enojar";"vana nkele"
"enorme";"kya nene"
"enquanto (conj.)";"wawuwu"
"enriquecer";"wumvwama"
"enrolamento";"zinga"
"enrolar";"zinga"
"enroscar";"yangula"
"enrugar";"vanga lusunda"
"ensaboar";"sukula"
"ensacar";"vakisa"
"ensaiar";"teza"
"ensaio";"teza"
"ensinador";"nlongi"
"ensinamento";"lulongoko"
"ensinar";"longa"
"ensino";"longoka"
"entalar";"tatamina"
"então (adv.)";"o wawu"
"entender";"bakisa"
"entendido ";"kya bakiswa"
"entendimento";"ngwizani"
"enterrar";"zika"
"enterrar os mortos";"zika mafwa"
"enterro";"luziku"
"entidade";"mfumu"
"entoar";"yimbila"
"entornar";"tyaka, tyamuna"
"entorse";"fufuka"
"entortar";"tekomona"
"entrada";"nkota"
"entrar";"kota"
"entre (prep.)…";"vakati kwa…"
"entre eles";"yawu ye yawu , bawu ye bawu"
"entre nós ";"yeto ye yeto, beto ye beto"
"entre vós";"yeno ye yeno, beno ye beno"
"entregar";"vana"
"entregar ao inimigo";"vana kwa mbeni"
"entregar-se";"kudivana"
"entremeio";"vakati kati"
"entretanto (adv.)";"muntangwa yoyi"
"entreter";"sakana"
"entrevista";"moko"
"entrevistar";"mbokina"
"entristecer";"mwesa nkenda"
"entrocamento";"mpambu"
"entulhar";"banda ntoto"
"entulho";"ntoto wabandila"
"entupir";"kangama"
"entusiasmar";"kala ye kyese"
"entusiasmo";"kyese"
"enumerar";"sonika mundandani"
"enunciador";"nsamuni"
"envaidecer";"kudisema"
"envelhecer";"kimbuta"
"envelope";"nkutu"
"envenenamento";"ndikila"
"envenenar";"dikila"
"envergonhado";"moni a nsoni"
"envergonhar";"mwesa nsoni"
"enviado";"ntumwa"
"enviar";"tuma"
"envolvente";"kya zyeta"
"envolver";"kya dyetwa"
"enxada";"nsengo"
"enxaguar";"sukula, pasa"
"enxame de abelhas";"bangu dya mbwinginini"
"enxaqueca";"ntu wa lunza"
"enxotar";"kula, yinga"
"enxoval";"ku mvuka kya nlele"
"enxugar";"yumisa"
"epidemia";"vuku kya kimbevu"
"época";"tandu"
"época futura";"tandu ki kwiza"
"equilibrar-se";"kudi sengika"
"equilíbrio";"singama"
"equipar";"kubama"
"equivalente";"kya mpila mosi"
"equivocar";"vilakanwa"
"equívoco";"vila kana"
"era (s.f)";"ntandu"
"erecto";"singama"
"erguer";"talamisa"
"errado";"vilakanwa"
"errar";"vilakana"
"erro";"vilakana"
"erva";"makaya"
"ervilha";"wandu"
"esbanjar";"fwasa kwa yingi"
"esbarrar";"wandama, babama"
"esboço";"yatika bandula "
"esbofetear";"wanda, beta"
"esburacado";"ma wulu"
"esburacar";"tula ma wulu"
"escabecear ";"nimba"
"escada";"zanzu, matinu"
"escalar";"kubika"
"escamar";"katula mavavala"
"escamas";"mavavala"
"escandalizar";"kanda luzitu"
"escândalo";"fu kya konda luzitu"
"escandaloso";"mfwasi, mbebisi"
"escapar";"vuluka"
"escapatório";"olenda vululwa, yambulwa"
"escape";"mvumba"
"escapulir";"vuluka"
"escarnar";"pasula vasa"
"escarrar";"kona laka"
"escarro";"kololo, kovolodya"
"escassez";"nkondwa"
"escasso";"kya fyoti"
"escavação";"fu kya tima"
"escavar";"vaka, tima"
"esclarecer";"sasila mu kyeleka"
"esclarecimento";"toma sasila"
"escoador";"kenzilwa"
"escoamento";"fu kya kenza"
"escoar";"kenza"
"escola";"nzo  ya  malongi"
"escolar";"kya malongi"
"escolha";"sola"
"escolher";"nsodilu"
"escolhido";"kya solwa"
"esconder";"sweka, lunda"
"esconderijo";"fulu kya swekila"
"esconder-se";"kudisweka"
"escondidamente";"fu kya sweka"
"escondido";"kya swekwa"
"escorpião";"nyoka lulala"
"escorraçar";"vayiki mungolo"
"escorregar";"lelomoka , syetomoka"
"escorrer";"kukula"
"escova";"nkwangula"
"escovador";"nkwangudi"
"escovar";"kwangula"
"escrava";"mbundu"
"escravatura";"wubundu"
"escravidão";"wubundu"
"escravizado";"mbundu"
"escravizar";"bunduna"
"escravo";"mbundu"
"escrever";"soneka"
"escrita";"masono"
"escrito";"sono"
"escritor";"nsoneki"
"escritório";"fulu kya sonikina"
"escritura";"sono"
"escritura sagrada";"masoniku ma sambuka"
"escrivão";"nsoneki"
"escrúpulo";"baka lukanu mu keleka"
"escudo";"nkumbu ya nzimbu"
"escultor";"mvangi a teke"
"escurecer";"kituka ndombe"
"escuridão";"ndombe"
"escuro";"ndombe "
"escutador";"wunikini"
"escutar";"wunikina"
"esfaquear";"lweka mu mbele"
"esfarelar";"kulula"
"esfarrapado";"kya tyazuka, toboka"
"esfera";"dyengomoka"
"esférico";"kya dyengomoka"
"esfomeado";"nzala yayingi"
"esforçado";"kya ngolo"
"esforçar";"vanga ngolo"
"esforço";"ngolo"
"esfregador";"kusilu"
"esfregar";"kusa"
"esfriar";"zizika"
"esgotar";"manisa"
"esmagador";"mfwasi"
"esmagar";"fwasa"
"esmigalhado";"nfufuta, mpesina"
"esmigalhar";"fufutina"
"esmola";"lusadisu lwa nkenda"
"espaço";"fulu "
"espaçoso";"fulu kya nene"
"espada";"mbele a nene"
"espalhador";"mwangi "
"espalhar";"mwanga"
"espancar";"mwanisa kwa yingi"
"espantado";"dya sivi, sivika"
"espantador";"kilenda sevikwa"
"espantalho";"ma kilenda tinisa nuni"
"espantar";"susumuka"
"espanto";"susumuka"
"espantoso";"kya susumuka"
"espatifar";"fwadikisa"
